Name,Years active,Active From,Active To,Proven victims,Possible victims,Status,Notes,Source
"Thomas Jr., John Floyd",1972–1986,1972,1986,7,15+,Sentenced to life imprisonment,"Known as ""The Southland Strangler"" and ""The Westside Rapist""",[445][446][447]
"Thompson, William Paul",1983–1984,1983,1984,3,6,Executed 1989,Career criminal who killed people in California and Nevada; confessed to three additional murders in other states,[448]
"Tinning, Marybeth",1972–1985,1972,1985,2,9,Sentenced to 20 years to life,New York woman who murdered her children,[449]
"Toole, Ottis",1976–1983,1976,1983,6,6+,Died in prison,Accomplice of Henry Lee Lucas; claimed to have murdered Adam Walsh,[450]
"Toppan, Jane",1895–1901,1895,1901,12,31+,Found not guilty by reason of insanity and committed for life to the Taunton State Hospital,"Known as ""Jolly Jane""; nurse who poisoned both patients and family members",[451]
"Travis, Maury",2000–2002,2000,2002,2,17+,Committed suicide awaiting trial,"Suspected of kidnapping, torturing and killing women at his home in Ferguson, Missouri",[452]
"Turner, Chester",1987–1998,1987,1998,15,16,Sentenced to death,Convicted of murdering ten women and a viable unborn baby in South Los Angeles,[453]
"Urdiales, Andrew",1986–1996,1986,1996,8,8,Committed suicide in prison,"Murdered woman in Indiana, Illinois and California",[454]
"Valkenburgh, Elizabeth Van",1833–1845,1833,1845,2,2,Executed 1846,Self-confessed poisoner who killed her alcoholic husbands,[455]
"Vann, Darren Deon",2013–2014,2013,2014,7,7+,Sentenced to life imprisonment,Indiana murderer who killed seven women; five of which were found in abandoned structures in the city of Gary,[456][457][458]
"Vermilya, Louise",1893–1911,1893,1911,9,9,Died in 1913,Charges dismissed,
"Walker, Anthony Guy",1975–1986,1975,1986,6,6+,Sentenced to life imprisonment,"Career criminal who murdered mainly across Lenawee County, Michigan",[459]
"Wallace, Henry Louis",1990–1994,1990,1994,11,11,Sentenced to death,"Known as ""The Taco Bell Strangler""",[460]
"Walton, Edward",1896–1908,1896,1908,5,5,Executed 1908,Confessed to murdering five people across five states,[461]
"Ward, Ronald James",2000,2000,2000,4,4+,Died in prison,"Murdered at least three women and one man in three states, in the span of four months",[462]
"Wardrip, Faryion",1984–1986,1984,1986,5,5,Sentenced to death,Death sentence currently under appeal,[463]
"Warren, Edward Delon",1976–1979,1976,1979,3,3,Died in prison,"Murdered a couple in Brookings, Oregon; later linked via DNA to an unsolved murder in Portland",[464]
"Watson, Alexander Wayne",1986–1994,1986,1994,4,4,Sentenced to life imprisonment,"Raped, stabbed and strangled women in two Maryland counties",[465]
"Watts, Carl Eugene",1974–1982,1974,1982,22,100,Died in prison,"Known as ""The Sunday Morning Slasher""",[466]
"Werner, Karl F.",1969–1971,1969,1971,3,3,Sentenced to life imprisonment,"Murdered teenage girls in Santa Clara County, California",
"White, Nathaniel",1991–1992,1991,1992,6,6,Sentenced to 150 years to life in prison,"Confessed to beating and stabbing six women to death in Hudson Valley, New York while on parole",[467]
"Whiteling, Sarah",1888,1888,1888,3,3,Executed 1889,"Known as ""The Wholesale Poisoner""",[468]
"Whitten, Hattie",1900–1902,1900,1902,3,3,Committed suicide before trial,Maine woman who poisoned her husband and two children,[469]
"Wilder, Christopher",1984,1984,1984,8,15,Killed by police during apprehension,"Known as ""The Beauty Queen Killer""",[470]
"Williams, Scott",1997–2006,1997,2006,3,3,Sentenced to life imprisonment,"Killed women in Charlotte and Monroe, North Carolina",[471]
"Williams, Wayne",1979–1981,1979,1981,2,23,Sentenced to life imprisonment,Has maintained his innocence from the beginning and conviction is considered controversial,[472]
"Williamson, Thomas Andrew",1868–1890,1868,1890,4,4,Executed 1891,"Murdered four people in Illinois and Missouri, including his wife",[473]
"Wimberly, Anthony",1984–1985,1984,1985,3,3,Sentenced to life imprisonment,Murdered three women in Oakland during a crime spree,[474]
"Winters, Shirley",1980–2006,1980,2006,2,7,Sentenced to eight to 25 years,Arsonist who smothered her children; suspected of killing siblings since childhood,[475]
"Wise, Martha",1924–1925,1924,1925,3,3,Died in prison,Poisoned 17 members of her own family,[476]
"Wood, Cathy",1987,1987,1987,5,6,Incarcerated 20–40 years,Eligible for parole since 2005,[182][183]
"Wood, Isaac L.",1855,1855,1855,3,3,Executed 1858,"Poisoned his wife, brother and sister-in-law for monetary purposes",[477]
"Woodfield, Randall",1979–1981,1979,1981,18,44,Sentenced to life imprisonment plus 165 years,"Known as ""The I-5 Killer"" and ""The I-5 Bandit""",[478]
"Wright, Douglas",1969–1991,1969,1991,5,5+,Executed 1996,First criminal executed by lethal injection in Oregon,[479]
"Wuornos, Aileen",1989–1990,1989,1990,7,7,Executed 2002,"Known as the ""Damsel of Death""; shot seven men to death in Florida between 1989 and 1990",[480]
"Yates, Robert Lee",1975–1998,1975,1998,13,18+,"Sentenced to death, commuted to life imprisonment","Targeted women in and around Spokane, Washington",[481]
"Zarinsky, Robert",1958–1974,1958,1974,3,10,Died in prison,Preyed on teenage girls in New Jersey,[482]
